CSA2010,Teen Birth Rate per 1000 Females (aged 15-19) (2010),Teen Birth Rate per 1000 Females (aged 15-19) (2011),Teen Birth Rate per 1000 Females (aged 15-19) (2012),Percent of Births Delivered at Term (37-42 Weeks) (2010),Percent of Births Delivered at Term (37-42 Weeks) (2011),Percent of Births Delivered at Term (37-42 Weeks) (2012),Percent of Babies Born with a Satisfactory Birth Weight (2010),Percent of Babies Born with a Satisfactory Birth Weight (2011),Percent of Babies Born with a Satisfactory Birth Weight (2012),Percent of Births Where the Mother Received Early Prenatal Care (First Trimester) (2010),Percent of Births Where the Mother Received Early Prenatal Care (First Trimester) (2011),Percent of Births Where the Mother Received Early Prenatal Care (First Trimester) (2012),Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels (2010),Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels (2011),Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels (2012),Percent of Children (aged 0-6) with Elevated Blood Lead Levels (2010),Percent of Children (aged 0-6) with Elevated Blood Lead Levels (2011),Percent of Children (aged 0-6) with Elevated Blood Lead Levels (2012),Percent of Families Receiving TANF (2011),Percent of Families Receiving TANF (2012),Liquor Outlet density (per 1000 Residents) (2011),Liquor Outlet density (per 1000 Residents) (2012),Fast Food Outlet Density (per 1000 Residents) (2011),Average Healthy Food Availability Index (2012),Life Expectancy (2011),Life Expectancy (2012),Mortality by Age (Less than 1 year old) (2011),Mortality by Age (Less than 1 year old) (2012),Mortality by Age (1-14 years old) (2011),Mortality by Age (1-14 years old) (2012),Mortality by Age (15-24 years old) (2011),Mortality by Age (15-24 years old) (2012),Mortality by Age (25-44 years old) (2011),Mortality by Age (25-44 years old) (2012),Mortality by Age (45-64 years old) (2011),Mortality by Age (45-64 years old) (2012),Mortality by Age (65-84 years old) (2011),Mortality by Age (65-84 years old) (2012),Mortality by Age (85 and over) (2011),Mortality by Age (85 and over) (2012)
Edmondson Village,89.5,64.8,49.4,85.0,88.8,88.3,85.0,86.9,86.5,62.6,55.1,60.4,123.0,207.0,132.0,0.0,0.0,5.3,12.0,13.4,0.5,0.1,0.1,6.4,73.2,73.5,12.3,12.7,1.4,0.0,4.8,6.4,39.7,35.0,120.2,120.2,359.6,351.3,1264.7,1338.2
Fells Point,88.9,44.4,100.0,94.2,96.2,93.7,94.2,94.0,97.2,59.1,69.2,76.2,137.0,215.0,114.0,0.0,0.0,0.0,1.6,1.2,4.1,4.1,1.9,10.2,76.8,76.8,0.0,4.2,0.0,0.0,7.1,5.3,7.7,8.6,77.1,82.8,398.7,378.9,1644.4,1488.9
Forest Park/Walbrook,71.8,58.5,50.5,85.9,85.0,80.4,87.3,83.5,79.0,52.8,42.9,63.6,109.0,169.0,191.0,4.6,3.0,0.0,8.8,11.3,0.5,0.5,0.3,7.8,73.9,73.4,6.1,10.8,4.8,4.8,12.2,10.8,27.9,24.4,113.2,114.6,394.0,392.3,1169.8,1301.9
Glen-Fallstaff,49.5,30.5,26.7,90.4,89.4,88.8,94.5,90.4,92.5,56.4,60.6,62.6,164.0,302.0,158.0,0.0,1.7,0.0,3.3,4.7,0.3,0.4,1.9,10.3,95.6,78.5,6.8,7.4,0.0,2.4,2.0,5.0,13.9,23.1,43.7,76.3,137.3,278.3,396.6,1185.5
Greater Charles Village/Barclay,9.7,11.6,10.7,86.1,90.7,85.5,88.3,90.7,89.1,56.2,63.6,70.3,84.0,0.0,107.0,0.0,0.0,0.0,8.2,10.5,0.9,1.2,2.1,15.3,76.2,75.1,14.3,15.2,0.0,3.9,2.4,2.4,10.7,11.5,109.5,118.7,385.9,378.1,886.2,1029.9
Greater Govans,53.7,68.3,34.1,87.2,87.1,87.7,87.9,87.1,87.7,61.0,57.1,59.4,54.0,123.0,64.0,0.0,0.0,0.0,8.4,10.2,0.3,0.4,0.4,8.9,74.0,74.3,15.1,12.4,0.0,0.0,14.2,14.2,29.9,29.2,102.8,102.8,357.3,360.5,1270.1,1313.9
Greater Mondawmin,42.9,32.2,41.1,78.4,85.9,86.1,85.6,87.5,87.8,49.6,57.8,65.2,203.0,59.0,34.0,0.0,0.0,0.0,11.4,12.7,0.6,0.6,1.8,14.0,71.1,71.7,15.9,17.7,6.9,2.7,21.6,15.1,41.0,38.1,129.9,134.0,425.2,418.3,1074.1,1118.5
Greater Roland Park/Poplar Hill,0.0,0.0,0.0,94.3,91.1,83.6,94.3,89.3,88.5,74.3,73.2,86.9,132.0,57.0,43.0,0.0,0.0,0.0,0.3,0.3,0.4,0.3,0.7,11.8,84.1,84.4,0.0,3.3,1.8,0.0,5.7,2.8,3.2,2.1,33.2,33.2,213.1,209.7,1317.1,1280.5
Greater Rosemont,80.8,64.7,58.5,87.1,88.6,82.1,87.8,90.5,81.3,52.3,49.6,58.2,479.0,496.0,95.0,1.0,1.6,5.3,16.0,18.4,0.9,1.0,1.4,6.9,69.2,70.1,11.1,13.6,3.1,3.1,16.3,12.4,52.6,46.1,145.8,143.2,461.2,436.0,1323.7,1289.9
Greenmount East,99.2,79.9,55.1,85.4,85.3,84.4,82.6,82.4,84.4,48.6,64.0,62.6,183.0,167.0,185.0,3.8,3.6,3.8,20.1,22.9,2.2,2.0,1.4,9.6,67.0,67.4,20.5,18.2,9.2,6.5,12.2,9.1,54.1,48.4,167.0,175.2,433.9,445.2,1546.2,1630.3
